data,cd,grupo,indicador,valor
2025-06-02,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.7672222222222222
2025-06-03,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.7932351336606656
2025-06-04,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.7107611548556431
2025-06-05,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.8260869565217391
2025-06-06,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9346693386773547
2025-06-07,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.0
2025-06-09,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.8542260208926875
2025-06-10,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.8001949317738791
2025-06-11,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.8895966029723992
2025-06-12,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9014476614699332
2025-06-13,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9477225672877847
2025-06-16,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9238733252131547
2025-06-17,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9175925925925926
2025-06-18,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9474
2025-06-20,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9418
2025-06-23,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9617
2025-06-24,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9401
2025-06-25,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9063
2025-06-26,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9498
2025-06-27,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9462
2025-06-30,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9373
2025-07-01,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.8982
2025-07-02,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9454
2025-07-03,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9619
2025-07-04,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9559
2025-07-07,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9157
2025-07-08,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9602
2025-07-10,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9595
2025-07-11,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9493
2025-07-14,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9168
2025-07-15,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.8202
2025-07-16,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9406
2025-07-17,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9299
2025-07-18,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9533
2025-07-21,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9597
2025-07-22,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9507
2025-07-23,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9518
2025-07-24,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9575
2025-07-25,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.971
2025-07-28,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9641
2025-07-29,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.973
2025-07-30,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9749
2025-07-31,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.957
2025-08-01,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.978
2025-08-04,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9776
2025-08-05,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9785
2025-08-06,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9733
2025-08-07,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9656
2025-08-08,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9523
2025-08-11,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9155
2025-08-12,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9656
2025-08-13,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9751
2025-08-14,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9694
2025-08-15,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.971
2025-08-18,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9848
2025-08-19,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9785
2025-08-21,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9687
2025-08-22,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9612
2025-08-25,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9392
2025-08-26,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9468
2025-08-27,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9724
2025-08-28,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9444
2025-08-29,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.957
2025-09-01,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9537
2025-09-02,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9334
2025-09-03,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9607
2025-09-04,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.944
2025-09-05,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9634
2025-09-08,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9355
2025-09-09,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.89922
2025-09-10,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9101
2025-09-11,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9654
2025-09-12,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9701
2025-09-15,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9533
2025-09-16,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9652
2025-09-17,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9619
2025-09-18,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.976
2025-09-19,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9974
2025-09-22,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9882
2025-09-23,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9923
2025-09-24,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9773
2025-09-25,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9608
2025-09-26,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9747
2025-09-29,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9714
2025-09-30,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9606
2025-10-01,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.953
2025-10-02,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9646
2025-10-03,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9698
2025-10-06,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),0.9466
