data,cd,grupo,indicador,valor
02/06/2025,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),
02/06/2025,SBC,2. Pedidos para separar hoje (visão das 09h),2.1 Demanda Total Pedidos (Programados para o dia + passivo),
02/06/2025,SBC,2. Pedidos para separar hoje (visão das 09h),2.2 Pedidos Pendentes de consolidação  (Do dia + passivo),
02/06/2025,SBC,2. Pedidos para separar hoje (visão das 09h),2.2.1 Pedidos da data (com bancos),
02/06/2025,SBC,2. Pedidos para separar hoje (visão das 09h),2.2.2 Pedidos do Passivo,
02/06/2025,SBC,2. Pedidos para separar hoje (visão das 09h),2.3 Pedidos fora de carga (Ainda não estão na etapa do DUN),
02/06/2025,SBC,2. Pedidos para separar hoje (visão das 09h),2.4 Pedidos sem Nota Fiscal (ainda nas primeiras etapas do processo),
02/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos do dia,
02/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Atrasos Transportadoras - Pronto para embarque,
02/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Atrasos Operações Próprias - Pronto para embarque,
02/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Atraso Intra - Pendente de consolidação,
02/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Atraso Intra - Pronto Após o horário de corte - Pronto para embarque,
02/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Operação Especial Sodexo,
02/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Atraso Transferências,
02/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Total Atrasos,
02/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 1 dia,
02/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 2 dias,
02/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 3 dias,
02/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 4 dias,
02/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 5 dias,
02/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 6 dias,
02/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 7 dias,
02/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 8 dias,
02/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 9 dias,
02/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 10 dias,
02/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 2 a 5 dias,
02/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 6 a 10 dias,
02/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 11 a 15 dias,
02/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - acima de 15 dias,
02/06/2025,SBC,4. Atraso de Embarque Operação + Visão Cliente,Atraso de embarque Operações,
02/06/2025,SBC,4. Atraso de Embarque Operação + Visão Cliente,Atraso Ajuste PCP,
