cd,grupo,indicador,meta,direcao,ativo,observacao
SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),,Maior ou igual é melhor,Sim,
SBC,1. Performance de Embarque,Meta Embarque no Prazo,,Menor ou igual é melhor,Sim,
SBC,2. Pedidos para separar hoje (visão das 09h),2.1 Demanda Total Pedidos (Programados para o dia + passivo),,Menor ou igual é melhor,Sim,
SBC,2. Pedidos para separar hoje (visão das 09h),2.2 Pedidos Pendentes de consolidação  (Do dia + passivo),,Menor ou igual é melhor,Sim,
SBC,2. Pedidos para separar hoje (visão das 09h),2.2.1 Pedidos da data (com bancos),,Menor ou igual é melhor,Sim,
SBC,2. Pedidos para separar hoje (visão das 09h),2.2.2 Pedidos do Passivo,,Menor ou igual é melhor,Sim,
SBC,2. Pedidos para separar hoje (visão das 09h),2.3 Pedidos fora de carga (Ainda não estão na etapa do DUN),,Menor ou igual é melhor,Sim,
SBC,2. Pedidos para separar hoje (visão das 09h),2.4 Pedidos sem Nota Fiscal (ainda nas primeiras etapas do processo),,Menor ou igual é melhor,Sim,
SBC,3. Atraso de Embarque - Visão Operações,Pedidos do dia,,Menor ou igual é melhor,Sim,
SBC,3. Atraso de Embarque - Visão Operações,Atrasos Transportadoras - Pronto para embarque,,Menor ou igual é melhor,Sim,
SBC,3. Atraso de Embarque - Visão Operações,Atrasos Operações Próprias - Pronto para embarque,,Menor ou igual é melhor,Sim,
SBC,3. Atraso de Embarque - Visão Operações,Atraso Intra - Pendente de consolidação,,Menor ou igual é melhor,Sim,
SBC,3. Atraso de Embarque - Visão Operações,Atraso Intra - Pronto Após o horário de corte - Pronto para embarque,,Menor ou igual é melhor,Sim,
SBC,3. Atraso de Embarque - Visão Operações,Operação Especial Sodexo,,Menor ou igual é melhor,Sim,
SBC,3. Atraso de Embarque - Visão Operações,Atraso Transferências,,Menor ou igual é melhor,Sim,
SBC,3. Atraso de Embarque - Visão Operações,Total Atrasos,,Menor ou igual é melhor,Sim,
SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 1 dia,,Menor ou igual é melhor,Sim,
SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 2 dias,,Menor ou igual é melhor,Sim,
SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 3 dias,,Menor ou igual é melhor,Sim,
SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 4 dias,,Menor ou igual é melhor,Sim,
SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 5 dias,,Menor ou igual é melhor,Sim,
SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 6 dias,,Menor ou igual é melhor,Sim,
SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 7 dias,,Menor ou igual é melhor,Sim,
SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 8 dias,,Menor ou igual é melhor,Sim,
SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 9 dias,,Menor ou igual é melhor,Sim,
SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 10 dias,,Menor ou igual é melhor,Sim,
SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 2 a 5 dias,,Menor ou igual é melhor,Sim,
SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 6 a 10 dias,,Menor ou igual é melhor,Sim,
SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 11 a 15 dias,,Menor ou igual é melhor,Sim,
SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - acima de 15 dias,,Menor ou igual é melhor,Sim,
SBC,4. Atraso de Embarque Operação + Visão Cliente,Atraso de embarque Operações,,Menor ou igual é melhor,Sim,
SBC,4. Atraso de Embarque Operação + Visão Cliente,Atraso Ajuste PCP,,Menor ou igual é melhor,Sim,
SBC,4. Atraso de Embarque Operação + Visão Cliente,Operação Especial Sodexo,,Menor ou igual é melhor,Sim,
SBC,4. Atraso de Embarque Operação + Visão Cliente,Total Atrasos,,Menor ou igual é melhor,Sim,
SBC,4. Atraso de Embarque Operação + Visão Cliente,Pedidos em Atraso - até 1 dia,,Menor ou igual é melhor,Sim,
SBC,4. Atraso de Embarque Operação + Visão Cliente,Pedidos em Atraso - 2 a 5 dias,,Menor ou igual é melhor,Sim,
SBC,4. Atraso de Embarque Operação + Visão Cliente,Pedidos em Atraso - 6 a 10 dias,,Menor ou igual é melhor,Sim,
SBC,4. Atraso de Embarque Operação + Visão Cliente,Pedidos em Atraso - 11 a 15 dias,,Menor ou igual é melhor,Sim,
SBC,4. Atraso de Embarque Operação + Visão Cliente,Pedidos em Atraso - acima de 15 dias,,Menor ou igual é melhor,Sim,
SBC,5. Retorno para Reembarque,Retoro para Reembarque,,Menor ou igual é melhor,Sim,
SBC,5. Retorno para Reembarque,Exclusão de Romaneio,,Menor ou igual é melhor,Sim,
SBC,5. Retorno para Reembarque,Total Atrasos,,Menor ou igual é melhor,Sim,
SBC,5. Retorno para Reembarque,Pedidos em Atraso - até 1 dia,,Menor ou igual é melhor,Sim,
SBC,5. Retorno para Reembarque,Pedidos em Atraso - 2 a 5 dias,,Menor ou igual é melhor,Sim,
SBC,5. Retorno para Reembarque,Pedidos em Atraso - 6 a 10 dias,,Menor ou igual é melhor,Sim,
SBC,5. Retorno para Reembarque,Pedidos em Atraso - 11 a 15 dias,,Menor ou igual é melhor,Sim,
SBC,5. Retorno para Reembarque,Pedidos em Atraso - acima de 15 dias,,Menor ou igual é melhor,Sim,
SBC,5. Retorno para Reembarque,Pedidos em Atraso - 16 a 20 dias,,Menor ou igual é melhor,Sim,
SBC,5. Retorno para Reembarque,Pedidos em Atraso - 21 a 30 dias,,Menor ou igual é melhor,Sim,
SBC,5. Retorno para Reembarque,Pedidos em Atraso - acima de 30 dias,,Menor ou igual é melhor,Sim,
SBC,6. Linhas Planejadas PCP (Linha sem quebra na Prod),Linhas Previstas PCP,,Menor ou igual é melhor,Sim,
SBC,6. Linhas Planejadas PCP (Linha sem quebra na Prod),Linhas Planejadas PCP,,Menor ou igual é melhor,Sim,
SBC,6. Linhas Planejadas PCP (Linha sem quebra na Prod),% Atingimento,,Maior ou igual é melhor,Sim,
SBC,7.Linhas Faturadas/Separadas (Com quebra na Prod),Linhas Faturadas,,Menor ou igual é melhor,Sim,
SBC,7.Linhas Faturadas/Separadas (Com quebra na Prod),Capacidade Total CD (DUN + FRAC + Bancos),,Menor ou igual é melhor,Sim,
SBC,7.Linhas Faturadas/Separadas (Com quebra na Prod),Total Linhas Separadas (DUN + FRAC + Bancos),,Menor ou igual é melhor,Sim,
SBC,7.Linhas Faturadas/Separadas (Com quebra na Prod),% Atingimento Separação x Capacidade,,Maior ou igual é melhor,Sim,
SBC,7.Linhas Faturadas/Separadas (Com quebra na Prod),>Capacidade FRAC,,Menor ou igual é melhor,Sim,
SBC,7.Linhas Faturadas/Separadas (Com quebra na Prod),Separado FRAC,,Menor ou igual é melhor,Sim,
SBC,7.Linhas Faturadas/Separadas (Com quebra na Prod),>Capacidade DUN,,Menor ou igual é melhor,Sim,
SBC,7.Linhas Faturadas/Separadas (Com quebra na Prod),Separado DUN,,Menor ou igual é melhor,Sim,
